From	To	Species	Gene Name
PRPSAP1	5635	Homo sapiens	phosphoribosyl pyrophosphate synthetase associated protein 1(PRPSAP1)
PRPSAP2	5636	Homo sapiens	phosphoribosyl pyrophosphate synthetase associated protein 2(PRPSAP2)
LARP1	23367	Homo sapiens	La ribonucleoprotein 1, translational regulator(LARP1)
RDH11	51109	Homo sapiens	retinol dehydrogenase 11(RDH11)
HLCS	3141	Homo sapiens	holocarboxylase synthetase(HLCS)
ADAMTS19	171019	Homo sapiens	ADAM metallopeptidase with thrombospondin type 1 motif 19(ADAMTS19)
KCNQ1OT1	10984	Homo sapiens	KCNQ1 opposite strand/antisense transcript 1(KCNQ1OT1)
ADAMTS18	170692	Homo sapiens	ADAM metallopeptidase with thrombospondin type 1 motif 18(ADAMTS18)
LMCD1-AS1	100288428	Homo sapiens	LMCD1 antisense RNA 1(LMCD1-AS1)
CREBBP	1387	Homo sapiens	CREB binding protein(CREBBP)
NEBL	10529	Homo sapiens	nebulette(NEBL)
EIF2AK1	27102	Homo sapiens	eukaryotic translation initiation factor 2 alpha kinase 1(EIF2AK1)
EIF2AK2	5610	Homo sapiens	eukaryotic translation initiation factor 2 alpha kinase 2(EIF2AK2)
LNPEP	4012	Homo sapiens	leucyl and cystinyl aminopeptidase(LNPEP)
EIF2AK4	440275	Homo sapiens	eukaryotic translation initiation factor 2 alpha kinase 4(EIF2AK4)
LARP4	113251	Homo sapiens	La ribonucleoprotein 4(LARP4)
BTBD10	84280	Homo sapiens	BTB domain containing 10(BTBD10)
PBX1	5087	Homo sapiens	PBX homeobox 1(PBX1)
PPFIBP1	8496	Homo sapiens	PPFIA binding protein 1(PPFIBP1)
AGO3	192669	Homo sapiens	argonaute RISC catalytic component 3(AGO3)
AGO4	192670	Homo sapiens	argonaute RISC component 4(AGO4)
AGO1	26523	Homo sapiens	argonaute RISC component 1(AGO1)
PKIA	5569	Homo sapiens	cAMP-dependent protein kinase inhibitor alpha(PKIA)
AGO2	27161	Homo sapiens	argonaute RISC catalytic component 2(AGO2)
NMT1	4836	Homo sapiens	N-myristoyltransferase 1(NMT1)
NMT2	9397	Homo sapiens	N-myristoyltransferase 2(NMT2)
FXYD7	53822	Homo sapiens	FXYD domain containing ion transport regulator 7(FXYD7)
SFXN4	119559	Homo sapiens	sideroflexin 4(SFXN4)
SFXN1	94081	Homo sapiens	sideroflexin 1(SFXN1)
FXYD6	53826	Homo sapiens	FXYD domain containing ion transport regulator 6(FXYD6)
STRN	6801	Homo sapiens	striatin(STRN)
PKIG	11142	Homo sapiens	cAMP-dependent protein kinase inhibitor gamma(PKIG)
DZIP1	22873	Homo sapiens	DAZ interacting zinc finger protein 1(DZIP1)
DZIP3	9666	Homo sapiens	DAZ interacting zinc finger protein 3(DZIP3)
SFXN5	94097	Homo sapiens	sideroflexin 5(SFXN5)
KCNC1	3746	Homo sapiens	potassium voltage-gated channel subfamily C member 1(KCNC1)
KCNC2	3747	Homo sapiens	potassium voltage-gated channel subfamily C member 2(KCNC2)
PRKAG2	51422	Homo sapiens	protein kinase AMP-activated non-catalytic subunit gamma 2(PRKAG2)
SNX13	23161	Homo sapiens	sorting nexin 13(SNX13)
ZNF44	51710	Homo sapiens	zinc finger protein 44(ZNF44)
SNX10	29887	Homo sapiens	sorting nexin 10(SNX10)
GLT1D1	144423	Homo sapiens	glycosyltransferase 1 domain containing 1(GLT1D1)
MMP24	10893	Homo sapiens	matrix metallopeptidase 24(MMP24)
NEFL	4747	Homo sapiens	neurofilament light chain(NEFL)
JAK2	3717	Homo sapiens	Janus kinase 2(JAK2)
JAK1	3716	Homo sapiens	Janus kinase 1(JAK1)
APC2	10297	Homo sapiens	APC regulator of WNT signaling pathway 2(APC2)
CRPPA	729920	Homo sapiens	CDP-L-ribitol pyrophosphorylase A(CRPPA)
KCND2	3751	Homo sapiens	potassium voltage-gated channel subfamily D member 2(KCND2)
GSTO2	119391	Homo sapiens	glutathione S-transferase omega 2(GSTO2)
KCND3	3752	Homo sapiens	potassium voltage-gated channel subfamily D member 3(KCND3)
TTC28-AS1	284900	Homo sapiens	TTC28 antisense RNA 1(TTC28-AS1)
TMEFF1	8577	Homo sapiens	transmembrane protein with EGF like and two follistatin like domains 1(TMEFF1)
TMEFF2	23671	Homo sapiens	transmembrane protein with EGF like and two follistatin like domains 2(TMEFF2)
MMP16	4325	Homo sapiens	matrix metallopeptidase 16(MMP16)
AGPS	8540	Homo sapiens	alkylglycerone phosphate synthase(AGPS)
DPYD	1806	Homo sapiens	dihydropyrimidine dehydrogenase(DPYD)
MMP17	4326	Homo sapiens	matrix metallopeptidase 17(MMP17)
RAPGEF1	2889	Homo sapiens	Rap guanine nucleotide exchange factor 1(RAPGEF1)
RAPGEF2	9693	Homo sapiens	Rap guanine nucleotide exchange factor 2(RAPGEF2)
RAPGEF5	9771	Homo sapiens	Rap guanine nucleotide exchange factor 5(RAPGEF5)
CRYAB	1410	Homo sapiens	crystallin alpha B(CRYAB)
RAPGEF6	51735	Homo sapiens	Rap guanine nucleotide exchange factor 6(RAPGEF6)
PAFAH1B2	5049	Homo sapiens	platelet activating factor acetylhydrolase 1b catalytic subunit 2(PAFAH1B2)
RAPGEF4	11069	Homo sapiens	Rap guanine nucleotide exchange factor 4(RAPGEF4)
PAFAH1B1	5048	Homo sapiens	platelet activating factor acetylhydrolase 1b regulatory subunit 1(PAFAH1B1)
CCDC18-AS1	100131564	Homo sapiens	CCDC18 antisense RNA 1(CCDC18-AS1)
SYNPO2	171024	Homo sapiens	synaptopodin 2(SYNPO2)
KCNA2	3737	Homo sapiens	potassium voltage-gated channel subfamily A member 2(KCNA2)
ADAM22	53616	Homo sapiens	ADAM metallopeptidase domain 22(ADAM22)
SNX32	254122	Homo sapiens	sorting nexin 32(SNX32)
SNX30	401548	Homo sapiens	sorting nexin family member 30(SNX30)
SDAD1	55153	Homo sapiens	SDA1 domain containing 1(SDAD1)
FAM117B	150864	Homo sapiens	family with sequence similarity 117 member B(FAM117B)
SNX29	92017	Homo sapiens	sorting nexin 29(SNX29)
SNX27	81609	Homo sapiens	sorting nexin 27(SNX27)
SNX25	83891	Homo sapiens	sorting nexin 25(SNX25)
PLAGL1	5325	Homo sapiens	PLAG1 like zinc finger 1(PLAGL1)
ADAM23	8745	Homo sapiens	ADAM metallopeptidase domain 23(ADAM23)
STX6	10228	Homo sapiens	syntaxin 6(STX6)
STX5	6811	Homo sapiens	syntaxin 5(STX5)
RICTOR	253260	Homo sapiens	RPTOR independent companion of MTOR complex 2(RICTOR)
STX3	6809	Homo sapiens	syntaxin 3(STX3)
JAM3	83700	Homo sapiens	junctional adhesion molecule 3(JAM3)
ATAD1	84896	Homo sapiens	ATPase family AAA domain containing 1(ATAD1)
EGLN1	54583	Homo sapiens	egl-9 family hypoxia inducible factor 1(EGLN1)
CASP8AP2	9994	Homo sapiens	caspase 8 associated protein 2(CASP8AP2)
RIC3	79608	Homo sapiens	RIC3 acetylcholine receptor chaperone(RIC3)
MBD5	55777	Homo sapiens	methyl-CpG binding domain protein 5(MBD5)
RIC1	57589	Homo sapiens	RIC1 homolog, RAB6A GEF complex partner 1(RIC1)
SLF2	55719	Homo sapiens	SMC5-SMC6 complex localization factor 2(SLF2)
KCNB1	3745	Homo sapiens	potassium voltage-gated channel subfamily B member 1(KCNB1)
KCNB2	9312	Homo sapiens	potassium voltage-gated channel subfamily B member 2(KCNB2)
MBD2	8932	Homo sapiens	methyl-CpG binding domain protein 2(MBD2)
SNX24	28966	Homo sapiens	sorting nexin 24(SNX24)
ZNF76	7629	Homo sapiens	zinc finger protein 76(ZNF76)
TARBP1	6894	Homo sapiens	TAR (HIV-1) RNA binding protein 1(TARBP1)
SKI	6497	Homo sapiens	SKI proto-oncogene(SKI)
SNX19	399979	Homo sapiens	sorting nexin 19(SNX19)
SNX14	57231	Homo sapiens	sorting nexin 14(SNX14)
CCDC7	79741	Homo sapiens	coiled-coil domain containing 7(CCDC7)
PWWP3A	84939	Homo sapiens	PWWP domain containing 3A, DNA repair factor(PWWP3A)
CCDC6	8030	Homo sapiens	coiled-coil domain containing 6(CCDC6)
PKN2	5586	Homo sapiens	protein kinase N2(PKN2)
CCDC3	83643	Homo sapiens	coiled-coil domain containing 3(CCDC3)
LGR4	55366	Homo sapiens	leucine rich repeat containing G protein-coupled receptor 4(LGR4)
LINC01473	101927217	Homo sapiens	long intergenic non-protein coding RNA 1473(LINC01473)
MTCH1	23787	Homo sapiens	mitochondrial carrier 1(MTCH1)
MTCH2	23788	Homo sapiens	mitochondrial carrier 2(MTCH2)
RIF1	55183	Homo sapiens	replication timing regulatory factor 1(RIF1)
PDCD7	10081	Homo sapiens	programmed cell death 7(PDCD7)
PDCD6	10016	Homo sapiens	programmed cell death 6(PDCD6)
FBXO28	23219	Homo sapiens	F-box protein 28(FBXO28)
GOLIM4	27333	Homo sapiens	golgi integral membrane protein 4(GOLIM4)
MSI2	124540	Homo sapiens	musashi RNA binding protein 2(MSI2)
IL1RAP	3556	Homo sapiens	interleukin 1 receptor accessory protein(IL1RAP)
FBXO21	23014	Homo sapiens	F-box protein 21(FBXO21)
FBXO22	26263	Homo sapiens	F-box protein 22(FBXO22)
SLK	9748	Homo sapiens	STE20 like kinase(SLK)
FNTA	2339	Homo sapiens	farnesyltransferase, CAAX box, subunit alpha(FNTA)
NFATC2IP	84901	Homo sapiens	nuclear factor of activated T cells 2 interacting protein(NFATC2IP)
NEK1	4750	Homo sapiens	NIMA related kinase 1(NEK1)
KMT5B	51111	Homo sapiens	lysine methyltransferase 5B(KMT5B)
MAP3K9	4293	Homo sapiens	mitogen-activated protein kinase kinase kinase 9(MAP3K9)
MAP3K7	6885	Homo sapiens	mitogen-activated protein kinase kinase kinase 7(MAP3K7)
MAP3K4	4216	Homo sapiens	mitogen-activated protein kinase kinase kinase 4(MAP3K4)
KCNH1	3756	Homo sapiens	potassium voltage-gated channel subfamily H member 1(KCNH1)
MAP3K5	4217	Homo sapiens	mitogen-activated protein kinase kinase kinase 5(MAP3K5)
FBXW4	6468	Homo sapiens	F-box and WD repeat domain containing 4(FBXW4)
KCNH3	23416	Homo sapiens	potassium voltage-gated channel subfamily H member 3(KCNH3)
KCNH5	27133	Homo sapiens	potassium voltage-gated channel subfamily H member 5(KCNH5)
FBXW8	26259	Homo sapiens	F-box and WD repeat domain containing 8(FBXW8)
KCNH7	90134	Homo sapiens	potassium voltage-gated channel subfamily H member 7(KCNH7)
FBXW7	55294	Homo sapiens	F-box and WD repeat domain containing 7(FBXW7)
KCNH8	131096	Homo sapiens	potassium voltage-gated channel subfamily H member 8(KCNH8)
STX8	9482	Homo sapiens	syntaxin 8(STX8)
FBXO16	157574	Homo sapiens	F-box protein 16(FBXO16)
STX7	8417	Homo sapiens	syntaxin 7(STX7)
FBXO17	115290	Homo sapiens	F-box protein 17(FBXO17)
CTNNBIP1	56998	Homo sapiens	catenin beta interacting protein 1(CTNNBIP1)
FAM118A	55007	Homo sapiens	family with sequence similarity 118 member A(FAM118A)
ATP11B	23200	Homo sapiens	ATPase phospholipid transporting 11B (putative)(ATP11B)
ATP11A	23250	Homo sapiens	ATPase phospholipid transporting 11A(ATP11A)
FBXO10	26267	Homo sapiens	F-box protein 10(FBXO10)
NEAT1	283131	Homo sapiens	nuclear paraspeckle assembly transcript 1(NEAT1)
FBXO11	80204	Homo sapiens	F-box protein 11(FBXO11)
SRCIN1	80725	Homo sapiens	SRC kinase signaling inhibitor 1(SRCIN1)
PIAS2	9063	Homo sapiens	protein inhibitor of activated STAT 2(PIAS2)
PIAS1	8554	Homo sapiens	protein inhibitor of activated STAT 1(PIAS1)
DMTF1	9988	Homo sapiens	cyclin D binding myb like transcription factor 1(DMTF1)
MSH2	4436	Homo sapiens	mutS homolog 2(MSH2)
MSH3	4437	Homo sapiens	mutS homolog 3(MSH3)
SRSF2	6427	Homo sapiens	serine and arginine rich splicing factor 2(SRSF2)
PKP4	8502	Homo sapiens	plakophilin 4(PKP4)
SRSF4	6429	Homo sapiens	serine and arginine rich splicing factor 4(SRSF4)
SRSF5	6430	Homo sapiens	serine and arginine rich splicing factor 5(SRSF5)
LY6H	4062	Homo sapiens	lymphocyte antigen 6 family member H(LY6H)
SRSF7	6432	Homo sapiens	serine and arginine rich splicing factor 7(SRSF7)
ARL8A	127829	Homo sapiens	ADP ribosylation factor like GTPase 8A(ARL8A)
ARL8B	55207	Homo sapiens	ADP ribosylation factor like GTPase 8B(ARL8B)
GRIA1	2890	Homo sapiens	glutamate ionotropic receptor AMPA type subunit 1(GRIA1)
KMT2E	55904	Homo sapiens	lysine methyltransferase 2E (inactive)(KMT2E)
GRIA2	2891	Homo sapiens	glutamate ionotropic receptor AMPA type subunit 2(GRIA2)
KMT2A	4297	Homo sapiens	lysine methyltransferase 2A(KMT2A)
UQCRB	7381	Homo sapiens	ubiquinol-cytochrome c reductase binding protein(UQCRB)
KMT2C	58508	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ZC4H2	55906	Homo sapiens	zinc finger C4H2-type containing(ZC4H2)
IREB2	3658	Homo sapiens	iron responsive element binding protein 2(IREB2)
FBXO44	93611	Homo sapiens	F-box protein 44(FBXO44)
CCDC144A	9720	Homo sapiens	coiled-coil domain containing 144A(CCDC144A)
NPAS2	4862	Homo sapiens	neuronal PAS domain protein 2(NPAS2)
UQCRH	7388	Homo sapiens	ubiquinol-cytochrome c reductase hinge protein(UQCRH)
FBXO42	54455	Homo sapiens	F-box protein 42(FBXO42)
NPAS3	64067	Homo sapiens	neuronal PAS domain protein 3(NPAS3)
RAP1B	5908	Homo sapiens	RAP1B, member of RAS oncogene family(RAP1B)
ARL17B	100506084	Homo sapiens	ADP ribosylation factor like GTPase 17B(ARL17B)
ARL17A	51326	Homo sapiens	ADP ribosylation factor like GTPase 17A(ARL17A)
RAP1A	5906	Homo sapiens	RAP1A, member of RAS oncogene family(RAP1A)
AP4S1	11154	Homo sapiens	adaptor related protein complex 4 subunit sigma 1(AP4S1)
KHDC4	22889	Homo sapiens	KH domain containing 4, pre-mRNA splicing factor(KHDC4)
IP6K1	9807	Homo sapiens	inositol hexakisphosphate kinase 1(IP6K1)
CERT1	10087	Homo sapiens	ceramide transporter 1(CERT1)
GRIA3	2892	Homo sapiens	glutamate ionotropic receptor AMPA type subunit 3(GRIA3)
ZKSCAN1	7586	Homo sapiens	zinc finger with KRAB and SCAN domains 1(ZKSCAN1)
IP6K2	51447	Homo sapiens	inositol hexakisphosphate kinase 2(IP6K2)
GRIA4	2893	Homo sapiens	glutamate ionotropic receptor AMPA type subunit 4(GRIA4)
NEK9	91754	Homo sapiens	NIMA related kinase 9(NEK9)
HTR1E	3354	Homo sapiens	5-hydroxytryptamine receptor 1E(HTR1E)
NEK4	6787	Homo sapiens	NIMA related kinase 4(NEK4)
API5	8539	Homo sapiens	apoptosis inhibitor 5(API5)
NEK7	140609	Homo sapiens	NIMA related kinase 7(NEK7)
FBXO36	130888	Homo sapiens	F-box protein 36(FBXO36)
FBXO34	55030	Homo sapiens	F-box protein 34(FBXO34)
FBXO32	114907	Homo sapiens	F-box protein 32(FBXO32)
FBXO33	254170	Homo sapiens	F-box protein 33(FBXO33)
FBXO31	79791	Homo sapiens	F-box protein 31(FBXO31)
LRCH2	57631	Homo sapiens	leucine rich repeats and calponin homology domain containing 2(LRCH2)
SON	6651	Homo sapiens	SON DNA and RNA binding protein(SON)
LRCH1	23143	Homo sapiens	leucine rich repeats and calponin homology domain containing 1(LRCH1)
SP4	6671	Homo sapiens	Sp4 transcription factor(SP4)
NOXA1	10811	Homo sapiens	NADPH oxidase activator 1(NOXA1)
SP3	6670	Homo sapiens	Sp3 transcription factor(SP3)
SLC49A4	84925	Homo sapiens	solute carrier family 49 member 4(SLC49A4)
MNAT1	4331	Homo sapiens	MNAT1 component of CDK activating kinase(MNAT1)
LRCH3	84859	Homo sapiens	leucine rich repeats and calponin homology domain containing 3(LRCH3)
BCAR3	8412	Homo sapiens	BCAR3 adaptor protein, NSP family member(BCAR3)
MTCL1	23255	Homo sapiens	microtubule crosslinking factor 1(MTCL1)
DYSF	8291	Homo sapiens	dysferlin(DYSF)
PTEN	5728	Homo sapiens	phosphatase and tensin homolog(PTEN)
PPWD1	23398	Homo sapiens	peptidylprolyl isomerase domain and WD repeat containing 1(PPWD1)
ECE1	1889	Homo sapiens	endothelin converting enzyme 1(ECE1)
ECE2	9718	Homo sapiens	endothelin converting enzyme 2(ECE2)
HTR2A	3356	Homo sapiens	5-hydroxytryptamine receptor 2A(HTR2A)
BICD1	636	Homo sapiens	BICD cargo adaptor 1(BICD1)
RESF1	55196	Homo sapiens	retroelement silencing factor 1(RESF1)
UNC80	285175	Homo sapiens	unc-80 homolog, NALCN channel complex subunit(UNC80)
KIAA1549	57670	Homo sapiens	KIAA1549(KIAA1549)
ARL5A	26225	Homo sapiens	ADP ribosylation factor like GTPase 5A(ARL5A)
NEO1	4756	Homo sapiens	neogenin 1(NEO1)
BCAS1	8537	Homo sapiens	brain enriched myelin associated protein 1(BCAS1)
SLC36A1	206358	Homo sapiens	solute carrier family 36 member 1(SLC36A1)
BCAS3	54828	Homo sapiens	BCAS3 microtubule associated cell migration factor(BCAS3)
CERS4	79603	Homo sapiens	ceramide synthase 4(CERS4)
CERS5	91012	Homo sapiens	ceramide synthase 5(CERS5)
GRID2	2895	Homo sapiens	glutamate ionotropic receptor delta type subunit 2(GRID2)
VPS9D1	9605	Homo sapiens	VPS9 domain containing 1(VPS9D1)
CERS6	253782	Homo sapiens	ceramide synthase 6(CERS6)
PIANP	196500	Homo sapiens	PILR alpha associated neural protein(PIANP)
GRID1	2894	Homo sapiens	glutamate ionotropic receptor delta type subunit 1(GRID1)
RNASET2	8635	Homo sapiens	ribonuclease T2(RNASET2)
VPS13C	54832	Homo sapiens	vacuolar protein sorting 13 homolog C(VPS13C)
VPS13D	55187	Homo sapiens	vacuolar protein sorting 13 homolog D(VPS13D)
VPS13A	23230	Homo sapiens	vacuolar protein sorting 13 homolog A(VPS13A)
VPS13B	157680	Homo sapiens	vacuolar protein sorting 13 homolog B(VPS13B)
ARFGAP3	26286	Homo sapiens	ADP ribosylation factor GTPase activating protein 3(ARFGAP3)
CES4A	283848	Homo sapiens	carboxylesterase 4A(CES4A)
MSL1	339287	Homo sapiens	MSL complex subunit 1(MSL1)
ARL4C	10123	Homo sapiens	ADP ribosylation factor like GTPase 4C(ARL4C)
NEMF	9147	Homo sapiens	nuclear export mediator factor(NEMF)
PCCA	5095	Homo sapiens	propionyl-CoA carboxylase subunit alpha(PCCA)
C1D	10438	Homo sapiens	C1D nuclear receptor corepressor(C1D)
PCCB	5096	Homo sapiens	propionyl-CoA carboxylase subunit beta(PCCB)
LINC01414	102724623	Homo sapiens	long intergenic non-protein coding RNA 1414(LINC01414)
BMP2K	55589	Homo sapiens	BMP2 inducible kinase(BMP2K)
ZNF875	284459	Homo sapiens	zinc finger protein 875(ZNF875)
TOP1	7150	Homo sapiens	DNA topoisomerase I(TOP1)
BCAT1	586	Homo sapiens	branched chain amino acid transaminase 1(BCAT1)
GAPDH	2597	Homo sapiens	glyceraldehyde-3-phosphate dehydrogenase(GAPDH)
BCAT2	587	Homo sapiens	branched chain amino acid transaminase 2(BCAT2)
PRKAA2	5563	Homo sapiens	protein kinase AMP-activated catalytic subunit alpha 2(PRKAA2)
UHRF2	115426	Homo sapiens	ubiquitin like with PHD and ring finger domains 2(UHRF2)
HM13	81502	Homo sapiens	histocompatibility minor 13(HM13)
ATP10D	57205	Homo sapiens	ATPase phospholipid transporting 10D (putative)(ATP10D)
LENG8	114823	Homo sapiens	leukocyte receptor cluster member 8(LENG8)
ATP10B	23120	Homo sapiens	ATPase phospholipid transporting 10B (putative)(ATP10B)
MLLT3	4300	Homo sapiens	MLLT3 super elongation complex subunit(MLLT3)
MLLT6	4302	Homo sapiens	MLLT6, PHD finger containing(MLLT6)
KRIT1	889	Homo sapiens	KRIT1 ankyrin repeat containing(KRIT1)
UBQLN1	29979	Homo sapiens	ubiquilin 1(UBQLN1)
E2F3	1871	Homo sapiens	E2F transcription factor 3(E2F3)
TSPOAP1	9256	Homo sapiens	TSPO associated protein 1(TSPOAP1)
SLC36A4	120103	Homo sapiens	solute carrier family 36 member 4(SLC36A4)
TRIM44	54765	Homo sapiens	tripartite motif containing 44(TRIM44)
KCNJ3	3760	Homo sapiens	potassium inwardly rectifying channel subfamily J member 3(KCNJ3)
NOP58	51602	Homo sapiens	NOP58 ribonucleoprotein(NOP58)
KCNJ6	3763	Homo sapiens	potassium inwardly rectifying channel subfamily J member 6(KCNJ6)
COL26A1	136227	Homo sapiens	collagen type XXVI alpha 1 chain(COL26A1)
TXNL1	9352	Homo sapiens	thioredoxin like 1(TXNL1)
CABLES1	91768	Homo sapiens	Cdk5 and Abl enzyme substrate 1(CABLES1)
KIAA0232	9778	Homo sapiens	KIAA0232(KIAA0232)
EFR3B	22979	Homo sapiens	EFR3 homolog B(EFR3B)
SORL1	6653	Homo sapiens	sortilin related receptor 1(SORL1)
BICC1	80114	Homo sapiens	BicC family RNA binding protein 1(BICC1)
ST7	7982	Homo sapiens	suppression of tumorigenicity 7(ST7)
PDCD4	27250	Homo sapiens	programmed cell death 4(PDCD4)
OCIAD1	54940	Homo sapiens	OCIA domain containing 1(OCIAD1)
TRIM37	4591	Homo sapiens	tripartite motif containing 37(TRIM37)
KCNK1	3775	Homo sapiens	potassium two pore domain channel subfamily K member 1(KCNK1)
UNC79	57578	Homo sapiens	unc-79 homolog, NALCN channel complex subunit(UNC79)
TRIM33	51592	Homo sapiens	tripartite motif containing 33(TRIM33)
SLC23A2	9962	Homo sapiens	solute carrier family 23 member 2(SLC23A2)
CCP110	9738	Homo sapiens	centriolar coiled-coil protein 110(CCP110)
IKZF2	22807	Homo sapiens	IKAROS family zinc finger 2(IKZF2)
EFR3A	23167	Homo sapiens	EFR3 homolog A(EFR3A)
STS	412	Homo sapiens	steroid sulfatase(STS)
BSG	682	Homo sapiens	basigin (Ok blood group)(BSG)
TRIM24	8805	Homo sapiens	tripartite motif containing 24(TRIM24)
FBXO3	26273	Homo sapiens	F-box protein 3(FBXO3)
THSD7A	221981	Homo sapiens	thrombospondin type 1 domain containing 7A(THSD7A)
ATXN7L1	222255	Homo sapiens	ataxin 7 like 1(ATXN7L1)
BSN	8927	Homo sapiens	bassoon presynaptic cytomatrix protein(BSN)
FBXO7	25793	Homo sapiens	F-box protein 7(FBXO7)
TRIM23	373	Homo sapiens	tripartite motif containing 23(TRIM23)
FBXO9	26268	Homo sapiens	F-box protein 9(FBXO9)
ARL15	54622	Homo sapiens	ADP ribosylation factor like GTPase 15(ARL15)
LIMCH1	22998	Homo sapiens	LIM and calponin homology domains 1(LIMCH1)
SNHG14	104472715	Homo sapiens	small nucleolar RNA host gene 14(SNHG14)
BTD	686	Homo sapiens	biotinidase(BTD)
CFDP1	10428	Homo sapiens	craniofacial development protein 1(CFDP1)
GAREM1	64762	Homo sapiens	GRB2 associated regulator of MAPK1 subtype 1(GAREM1)
SUB1	10923	Homo sapiens	SUB1 regulator of transcription(SUB1)
NINJ2	4815	Homo sapiens	ninjurin 2(NINJ2)
KCNQ2	3785	Homo sapiens	potassium voltage-gated channel subfamily Q member 2(KCNQ2)
KCNQ3	3786	Homo sapiens	potassium voltage-gated channel subfamily Q member 3(KCNQ3)
KCNQ5	56479	Homo sapiens	potassium voltage-gated channel subfamily Q member 5(KCNQ5)
FLYWCH1	84256	Homo sapiens	FLYWCH-type zinc finger 1(FLYWCH1)
RIN2	54453	Homo sapiens	Ras and Rab interactor 2(RIN2)
TMEM63A	9725	Homo sapiens	transmembrane protein 63A(TMEM63A)
DHX8	1659	Homo sapiens	DEAH-box helicase 8(DHX8)
TMEM63B	55362	Homo sapiens	transmembrane protein 63B(TMEM63B)
