p_val avg_log2FC pct.1 pct.2 p_val_adj
MYCBP2 1.64645417838448e-35 -0.53816496016396 0.354 0.569 6.02404654787312e-31
ABHD2 3.39936842225356e-35 -0.906277056135769 0.153 0.359 1.24376091833413e-30
TCF4 5.50192829775423e-35 -0.418151791977238 0.608 0.779 2.01304552558232e-30
NR3C2 1.79411815391174e-34 -0.745617896817578 0.213 0.426 6.56431950153227e-30
PPP3CA 2.45968333881309e-34 -0.587773009714383 0.416 0.626 8.99948940004932e-30
CLDN11 4.38089699892773e-34 1.46974156085906 0.254 0.165 1.60288259396768e-29
PEG3 7.60993317841884e-34 -1.00232845731738 0.182 0.372 2.78432235131988e-29
ASTN1 7.82389651610955e-34 -0.877646265804881 0.226 0.406 2.86260725731416e-29
SYNE1 2.84095400716959e-33 -0.601173456072091 0.399 0.583 1.03944825214321e-28
NBEA 3.10748547869397e-33 -0.605690433154183 0.371 0.566 1.13696678694455e-28
TAOK1 3.47925045474415e-33 -0.450171412570628 0.291 0.526 1.27298815638179e-28
GPM6A 4.54254778776052e-33 -0.793462472190758 0.5 0.668 1.66202738458582e-28
MAPK1 5.79566013809979e-33 -0.690634289769497 0.229 0.448 2.12051613132795e-28
ATRX 1.29987551422443e-32 -0.500251074139748 0.281 0.505 4.75598453144435e-28
HNRNPC 1.42499958364708e-32 -0.629363411332755 0.163 0.391 5.21378847664793e-28
HSP90AB1 4.90230112065911e-32 -0.760443574438478 0.262 0.475 1.79365393402675e-27
MBP 5.78111974555925e-32 0.602466252299452 0.559 0.46 2.11519609250522e-27
GSK3B 7.91972345293452e-32 -0.40378705627415 0.279 0.504 2.89766841695968e-27
FRMD4A 1.14390464155869e-31 -0.732910298981208 0.43 0.619 4.18531830253492e-27
NRG3 1.71178319682253e-31 -0.58323774735232 0.489 0.665 6.26307236053426e-27
DTNA 2.18564934814294e-31 -0.737840562154525 0.404 0.588 7.99685383498539e-27
NEDD4L 2.18764647333797e-31 -0.75803087190238 0.226 0.412 8.00416091664897e-27
RAPGEF1 2.75494146921787e-31 -1.03072483899958 0.131 0.329 1.00797798475743e-26
CHST11 2.87672298004714e-31 -1.32002523651472 0.129 0.302 1.05253540393965e-26
NTRK2 3.06834424069896e-31 -0.714653697960393 0.481 0.639 1.12264579078693e-26
EXOC4 3.94707934143844e-31 -0.438886192094613 0.361 0.571 1.4441573894455e-26
ENSA 7.101822876357e-31 -0.739740468718878 0.191 0.399 2.5984149540015e-26
FBXL17 7.56271566145719e-31 -0.488529092935483 0.381 0.57 2.76704640621396e-26
TNRC18 3.80244206677133e-30 -0.815827665486621 0.121 0.325 1.3912375033903e-25
VTI1A 6.42561071415358e-30 -0.496588353021223 0.267 0.478 2.35100244809451e-25
MAST4 6.81768264264446e-30 -0.630534071908932 0.342 0.529 2.49445372529076e-25
SPRED1 8.69455396697437e-30 -0.686779820978041 0.188 0.396 3.18116340543658e-25
MAPK10 1.69087597447207e-29 -0.462164732606696 0.455 0.638 6.18657701539841e-25
FYN 1.84714987391528e-29 -0.567265573828837 0.295 0.514 6.75835195868122e-25
PITPNC1 3.11603625875335e-29 -0.880656972792548 0.3 0.485 1.14009534635268e-24
TF 3.21375927565722e-29 0.970196306992987 0.36 0.256 1.17585024377746e-24
HSPH1 4.08787239388068e-29 -1.36965154635206 0.129 0.291 1.49567075147306e-24
SELENOW 4.40920356157886e-29 1.09452370218858 0.363 0.33 1.61323939911047e-24
ABLIM1 4.7696983418962e-29 -0.780449846091497 0.326 0.499 1.74513722933298e-24
HDAC9 4.85984584449366e-29 -0.738956733650809 0.273 0.445 1.77812039758334e-24
YWHAZ 5.12029708964532e-29 -0.587653132319084 0.223 0.437 1.87341429915943e-24
RPS15 7.61790454644014e-29 1.22417108669076 0.295 0.248 2.78723891545152e-24
FARP1 1.06520270178085e-28 -0.744140488542942 0.23 0.414 3.89736364527579e-24
NEBL 1.83372080465309e-28 -0.706766745429643 0.365 0.528 6.70921768006474e-24
CCDC92 1.84459744770795e-28 -0.703635803837404 0.135 0.325 6.74901314167384e-24
ZYG11B 2.40810982296441e-28 -0.744698422310733 0.157 0.353 8.81079222026218e-24
PAFAH1B1 2.58016681095992e-28 -0.343379904774936 0.321 0.546 9.44031432794015e-24
RFX3 2.62265218351528e-28 -0.565769820815728 0.277 0.484 9.59575980904572e-24
SORBS1 3.63091976618086e-28 -0.64939727971482 0.37 0.541 1.32848092405025e-23
RBFOX2 5.96210547495215e-28 -0.420103125671599 0.36 0.552 2.18141515117549e-23
RPL10 6.10563366446169e-28 1.27930192237983 0.281 0.252 2.23392924515324e-23
CLASP1 7.47629570996816e-28 -0.305728023238974 0.341 0.555 2.73542707436315e-23
DYRK1A 9.69737872333435e-28 -0.427778872112881 0.242 0.459 3.54807692729357e-23
ANKRD36C 1.00252485398966e-27 -0.683426762758755 0.162 0.348 3.66803793577737e-23
UBR4 1.01832608688809e-27 -0.91679774908831 0.087 0.266 3.72585148670613e-23
ROCK2 1.02699521117109e-27 -0.608219201062217 0.215 0.411 3.75757007863278e-23
ARHGEF12 1.13317609866048e-27 -0.547547764169292 0.271 0.472 4.14606470977896e-23
MACF1 1.25081418709071e-27 -0.46373716188116 0.531 0.707 4.57647894772749e-23
BMPR2 1.59396998496206e-27 -0.545567911392083 0.282 0.479 5.83201738097919e-23
SFMBT2 1.62368725889912e-27 -1.1451622713108 0.162 0.346 5.94074694286012e-23
NRCAM 1.76538837117476e-27 -0.585659480259537 0.364 0.533 6.45920297245422e-23
ZNF407 1.79621970576792e-27 -0.656508724663216 0.15 0.343 6.57200865946367e-23
PHF14 1.95684713006783e-27 -0.520048714559986 0.247 0.445 7.15971227949219e-23
TRAF3IP2-AS1 3.11890523558923e-27 -0.546455672987068 0.236 0.434 1.14114504759739e-22
UBA6-AS1 3.55098403024193e-27 -0.691738732448309 0.196 0.374 1.29923403698492e-22
USP24 6.00587803187685e-27 -0.576324838436085 0.143 0.351 2.1974306543031e-22
ITPR2 6.18194864049578e-27 -1.19605583505971 0.166 0.326 2.26185136858459e-22
CNTN1 6.32571717875181e-27 -0.556682731253697 0.399 0.559 2.31445340136171e-22
DYNC2H1 7.11828517166929e-27 -0.697978843919904 0.132 0.32 2.60443817861036e-22
BRWD1 7.23211476139855e-27 -0.445954275695009 0.244 0.455 2.6460861489005e-22
KCNMA1 8.17311042808194e-27 -0.559539051589952 0.402 0.565 2.99037764342662e-22
FUT9 1.12137026689155e-26 -0.550675575388821 0.323 0.514 4.10286953250279e-22
SAMD4A 1.47319600629712e-26 -0.931359635535059 0.186 0.363 5.39012954783989e-22
MGAT4C 1.63584761391575e-26 -0.770719486099812 0.277 0.436 5.98523924979496e-22
ASAP1 1.68316122343554e-26 -0.431428327016688 0.328 0.529 6.15835028430595e-22
CASC4 1.91886214997697e-26 -0.404982234922006 0.247 0.462 7.02073283433576e-22
CAMK1D 1.98658548012172e-26 -0.66442752732493 0.312 0.487 7.26851895466936e-22
SFXN5 2.06332823257362e-26 -1.10688054072097 0.164 0.34 7.54930533734035e-22
ARID1B 2.43323178509087e-26 -0.300681967354011 0.466 0.651 8.90270845529047e-22
CAMK2G 2.56233948453809e-26 -0.74112210942673 0.222 0.417 9.37508770602796e-22
CTNNA2 3.06393397023148e-26 -0.605440644362289 0.448 0.618 1.12103216102829e-21
KMT2C 3.42893063574845e-26 -0.268363360138431 0.321 0.55 1.25457714100764e-21
SKI 3.56415799475415e-26 -0.875849972304341 0.087 0.269 1.30405412712065e-21
REV3L 4.48587968800872e-26 -0.503087670503464 0.265 0.458 1.64129366024863e-21
NUCKS1 6.03486302329256e-26 -0.440965198031774 0.252 0.478 2.20803568296228e-21
NAV3 6.50446432097717e-26 -0.4313205376505 0.465 0.649 2.37985340575913e-21
R3HDM2 7.07655329014968e-26 -0.415375207308246 0.322 0.521 2.58916931779997e-21
CAMTA1 7.59722934454508e-26 -0.335284875971838 0.461 0.642 2.77967427258215e-21
NRIP1 8.22603738503907e-26 -0.851118669433851 0.147 0.327 3.00974255843809e-21
SOX5 8.23809688019019e-26 -0.730784060548175 0.348 0.509 3.01415488652399e-21
WDR82 9.82152583910722e-26 -1.07124982707566 0.092 0.262 3.59349987401255e-21
GNAS 9.96791606748073e-26 -0.654210734369045 0.328 0.509 3.64706113076985e-21
GRIA2 1.07818292010991e-25 -0.451678818740647 0.431 0.606 3.94485566809814e-21
ERBB4 1.14166201154768e-25 -0.500911559804122 0.46 0.626 4.17711296785064e-21
PLCB1 1.29132617834307e-25 -0.524045238110008 0.48 0.632 4.72470422132164e-21
SLC2A13 1.32703033175309e-25 -0.797397399351663 0.24 0.396 4.85533857781821e-21
CUX1 1.42314837259798e-25 -0.428580758688778 0.23 0.453 5.20701526566148e-21
TMEM131 1.68884855008289e-25 -0.559056204131032 0.155 0.351 6.17915907504329e-21
RAB2A 1.84542067042137e-25 -0.472729211738202 0.204 0.419 6.75202514893772e-21
AC092691.1 2.32176656171355e-25 -0.716279667465127 0.373 0.531 8.49487949599753e-21
LIMS1 2.48370946285493e-25 -0.876038121544841 0.087 0.257 9.08739618269361e-21
MEF2C 2.9095827999938e-25 -0.610933699079252 0.385 0.555 1.06455815486173e-20
PDE4D 3.27145736008336e-25 -0.370072481446989 0.507 0.689 1.1969608189073e-20
RB1CC1 3.50171964855533e-25 -0.566178659046753 0.161 0.358 1.28120918501343e-20
RPS6KA2 3.78050149106221e-25 -0.550453274245117 0.326 0.507 1.38320988554984e-20
GFOD1 3.87635180730534e-25 -0.756120698982965 0.172 0.347 1.41827959925688e-20
SMARCA2 3.99150072471606e-25 -0.503636165980328 0.3 0.498 1.46041028515911e-20
TBC1D22A 5.20327137378633e-25 -0.533056795300237 0.193 0.405 1.90377293024094e-20
ATP2B2 6.16185489924926e-25 -0.736232907200776 0.299 0.463 2.25449947053732e-20
ANKRD11 6.3559943415878e-25 -0.429866566743107 0.217 0.429 2.32553120970014e-20
ZDHHC21 6.59346890950021e-25 -0.463841206975134 0.217 0.41 2.41241840460794e-20
RAB11A 6.97336361448206e-25 1.0450746311132 0.33 0.306 2.5514142792667e-20
GALNT18 7.45240012337808e-25 -0.719239179423522 0.167 0.34 2.72668415714157e-20
FER 7.60070032813593e-25 -0.410073120548726 0.31 0.5 2.78094423605837e-20
SEPTIN11 9.46226681819249e-25 -0.636429537550205 0.193 0.368 3.46205418344027e-20
SLC6A1 1.04665269498023e-24 -0.583104233009936 0.197 0.381 3.82949288039368e-20
TMOD2 1.28372936570254e-24 -0.68679947520169 0.184 0.366 4.69690900323245e-20
PRRC2C 1.37778582933428e-24 -0.565504880854937 0.136 0.329 5.04104279236827e-20
BICD1 1.60294881254967e-24 -0.44583241060175 0.33 0.507 5.86486911535673e-20
CAMK2B 1.9924313938532e-24 -0.785247252220741 0.233 0.403 7.28990798383009e-20
AKAP8L 2.56505268127055e-24 -0.724589053741103 0.13 0.314 9.3850147502327e-20
SH3RF3 2.71786609375043e-24 -0.947110983811977 0.169 0.32 9.94412846381407e-20
RBMS3 2.99473284225003e-24 -0.727945805687273 0.3 0.46 1.09571285232244e-19
MRTFA 3.05220204135511e-24 -0.445804244491741 0.205 0.406 1.11673968289101e-19
GNAQ 3.40922988464857e-24 -0.309389910581736 0.518 0.696 1.24736903019522e-19
CDH11 3.45997394797968e-24 -0.859711215021259 0.151 0.31 1.2659352680868e-19
APLP1 3.51843776956752e-24 1.22684401854725 0.351 0.34 1.28732601112936e-19
ZEB1 3.92862969386383e-24 -0.653941190834285 0.233 0.408 1.4374070323909e-19
PLXNA2 4.02051824477215e-24 -0.924241232887835 0.165 0.329 1.47102721539723e-19
ATG7 4.62150686527715e-24 -0.454635312251782 0.287 0.476 1.6909169318676e-19
TSC22D2 5.08284620238934e-24 -0.652492772572827 0.151 0.347 1.85971176853021e-19
PBX1 5.5789762386283e-24 -0.32164828885198 0.416 0.6 2.04123582618932e-19
ARHGAP32 5.61321794321303e-24 -0.404898378322184 0.307 0.494 2.05376418106278e-19
SESN3 6.0030169209331e-24 -0.721811585743399 0.179 0.357 2.196383831031e-19
DOCK4 6.39893427804002e-24 -0.719361430024543 0.501 0.679 2.34124207364928e-19
KCNB1 8.29373417227655e-24 -0.800578698746205 0.195 0.35 3.03451145895255e-19
FCHSD2 8.36873239205344e-24 -0.496515399579716 0.291 0.496 3.06195180760451e-19
SPIRE1 8.43720958046464e-24 -0.439517647006677 0.237 0.429 3.0870062413004e-19
GRB2 9.22211732554087e-24 -0.924324165866635 0.092 0.262 3.3741882870689e-19
C1orf21 1.05511827497245e-23 -0.895078257641274 0.199 0.354 3.8604667444692e-19
PURG 1.06612688864911e-23 -0.84592037328971 0.092 0.252 3.90074506018937e-19
PEAK1 1.07664486312708e-23 -0.547839807534368 0.208 0.41 3.93922822520934e-19
DENND1A 1.48097023769978e-23 -0.384160126547402 0.309 0.504 5.41857390569595e-19
DOCK7 1.55077547558023e-23 -0.679446773013814 0.166 0.346 5.67397731005294e-19
CPSF6 1.6381414687959e-23 -0.433128081723171 0.148 0.354 5.99363200603045e-19
ARHGAP26 1.78355154407103e-23 -0.509373944811984 0.343 0.519 6.5256583894471e-19
CYFIP2 1.83732070816494e-23 -0.605797390833481 0.206 0.391 6.72238900703387e-19
MAP2K4 1.85627398903969e-23 -0.440882451208547 0.247 0.442 6.79173527109843e-19
EIF1AX 1.88806591591101e-23 -0.891378739167062 0.138 0.308 6.90805557313519e-19
PTPN4 1.90917317274055e-23 -0.511147112716985 0.213 0.401 6.98528280442312e-19
FAM155A 2.02516444457349e-23 -0.377448383588349 0.461 0.628 7.40967166980548e-19
RPTOR 2.18438771474612e-23 -0.55559843319638 0.13 0.322 7.99223777071311e-19
CACNB2 2.40931198783123e-23 -0.783517382335919 0.355 0.511 8.81519070107689e-19
PPP1CB 2.43323683319489e-23 -0.569079245813182 0.139 0.332 8.90272692529347e-19
POLR2J3 2.66404729695208e-23 -0.625348896125979 0.151 0.342 9.74721625008826e-19
KLC1 2.73278080001487e-23 -0.439050071115391 0.268 0.478 9.9986983910944e-19
ARHGAP5 2.87379116189948e-23 -0.436269160046588 0.233 0.449 1.05146271031578e-18
TRIO 2.95878055903522e-23 -0.416109693737196 0.379 0.553 1.08255863093981e-18
FAM49A 3.18474230096722e-23 -0.701834219440014 0.221 0.391 1.16523351307789e-18
FNDC3B 3.83407512783376e-23 -0.787599595462194 0.102 0.26 1.40281140777181e-18
EHBP1 3.91906215930227e-23 -0.33195755999104 0.271 0.462 1.43390646284552e-18
MEF2A 4.78766706632557e-23 -0.627081719480635 0.306 0.508 1.7517116262272e-18
CELF1 4.81215692377896e-23 -0.413827808913087 0.304 0.502 1.76067197527225e-18
RUFY3 4.99160809398914e-23 -0.324455171826785 0.323 0.526 1.82632956942875e-18
NPTN 5.12949548680791e-23 -0.618357336310814 0.227 0.411 1.87677980871328e-18
PPP2R5C 5.95742291342658e-23 -0.430957278996892 0.223 0.424 2.17970189556452e-18
FAM168A 7.72473889495542e-23 -0.3505407600012 0.289 0.491 2.82632746688629e-18
FAM172A 9.21664672650251e-23 -0.32438611219561 0.319 0.512 3.37218670429274e-18
LUC7L 1.048291832105e-22 -0.563718047160602 0.106 0.295 3.83549015530576e-18
RABGAP1L 1.07768964651333e-22 -0.36090810660362 0.42 0.597 3.94305087866299e-18
NOL4 1.18506224578121e-22 -0.772455588070341 0.182 0.346 4.33590574486431e-18
CRLF3 1.23966948145908e-22 1.08381794723752 0.277 0.26 4.53570269876249e-18
AUXG01000058.1 1.24012967869669e-22 -1.06827959220387 0.11 0.259 4.53738646841544e-18
NEGR1 1.27301712572874e-22 -0.479549542680517 0.427 0.602 4.65771505961632e-18
CDK14 1.38325095383924e-22 -0.639319605482857 0.294 0.448 5.061038589907e-18
CALY 1.49722319809778e-22 -1.03494108661604 0.102 0.25 5.47804023720017e-18
BTBD9 1.56977476968305e-22 -0.358139989427527 0.338 0.522 5.74349192731635e-18
JUND 1.6037990032381e-22 -0.45157437079542 0.205 0.414 5.86797979304755e-18
PRKN 1.78802509887933e-22 -0.317314514336247 0.436 0.609 6.54202623177969e-18
YWHAG 1.94826227468331e-22 -0.72495306627004 0.229 0.404 7.12830201061128e-18
SSBP2 1.96282747033502e-22 -0.33621985156498 0.361 0.548 7.18159314846176e-18
PGM2L1 1.96804397863711e-22 -1.14924339205622 0.154 0.3 7.20067930903744e-18
MICU3 2.01760766397131e-22 -0.459178846532837 0.186 0.375 7.38202292093822e-18
TTC7B 2.10608271431459e-22 -0.497405693407764 0.207 0.393 7.70573543513422e-18
NAV2 2.37848247901706e-22 -0.429807222005716 0.404 0.566 8.70239169422762e-18
SMYD3 2.75552196905693e-22 -0.434061779095659 0.4 0.561 1.00819037803855e-17
AHCYL2 3.11884854260104e-22 -0.57216270659406 0.238 0.426 1.14112430476687e-17
SEMA6D 3.45999168944032e-22 -0.80040598576608 0.139 0.294 1.26594175933242e-17
PJA2 3.63050441701336e-22 -0.555565010574399 0.239 0.426 1.32832895609685e-17
LARP1 3.68049211667871e-22 -0.49830713996391 0.206 0.405 1.34661845565041e-17
NTRK3 3.78906270756668e-22 -0.607895580971724 0.304 0.456 1.3863422634445e-17
SYT11 5.51748263137968e-22 -0.461572922463077 0.271 0.475 2.0187365451692e-17
ZMYM4 6.35924892590786e-22 -0.376073500659614 0.191 0.391 2.32672199701117e-17
SLC35F1 7.07583370051189e-22 -0.544232697734864 0.314 0.468 2.58890603434329e-17
HK1 7.73791031734367e-22 -0.760129837348993 0.122 0.294 2.8311466269097e-17
FHOD3 9.06267729543418e-22 -0.721456994262096 0.116 0.266 3.31585236885346e-17
FBXO42 1.07333082696851e-21 -0.446606623318373 0.144 0.334 3.92710282971238e-17
APC 1.10033959739205e-21 -0.409636659038816 0.307 0.5 4.02592251893804e-17
RNPC3 1.22039904092931e-21 -0.654067721791601 0.114 0.288 4.46519601095218e-17
MAP3K5 1.22713550291705e-21 -0.650521787609545 0.193 0.361 4.4898433780729e-17
IL6ST 1.25496594890097e-21 -0.722877581726422 0.103 0.27 4.59166941383888e-17
PDE3B 1.42642619660272e-21 -0.89668388152546 0.155 0.307 5.21900816813005e-17
RNGTT 1.44111477281606e-21 -0.425891612374241 0.153 0.336 5.2727507307794e-17
CDH2 1.9128480313729e-21 -0.446903238090913 0.246 0.429 6.99872837718717e-17
PPP1R9A 1.93642215373561e-21 -0.375120729770038 0.309 0.497 7.08498137608784e-17
MYT1L 2.01346136588092e-21 -0.781203672681258 0.302 0.412 7.36685244548511e-17
TTC3 2.04443416541424e-21 -0.380114406014721 0.356 0.536 7.48017572441761e-17
PIP4K2A 2.4539615502404e-21 0.735692517292867 0.495 0.475 8.97855452001958e-17
LRRC4C 2.78006061770126e-21 -0.459855757085857 0.402 0.573 1.01716857880454e-16
IL1RAPL1 3.33477740289104e-21 0.339492919439295 0.78 0.682 1.22012835616977e-16
SPTAN1 3.70018635288074e-21 -0.518887398179778 0.252 0.43 1.35382418279201e-16
NSG2 3.94079227049197e-21 -0.803939668272893 0.146 0.303 1.4418570759276e-16
XPR1 4.55336866225319e-21 -0.625094000315826 0.149 0.323 1.6659865261452e-16
GUCY1B1 4.58264269131984e-21 -0.910451495130221 0.105 0.255 1.6766973079001e-16
SNHG14 5.0434381126783e-21 -0.344092820232326 0.625 0.785 1.84529313666674e-16
CSGALNACT1 5.20491355057191e-21 -0.841289034850562 0.193 0.341 1.90437376988325e-16
INPP5F 5.3351656072923e-21 -0.652828987862886 0.184 0.355 1.95203039239611e-16
SFSWAP 5.88170740444472e-21 -0.60703297113452 0.11 0.285 2.15199910513823e-16
EFR3A 6.1764757448286e-21 -0.485443996080054 0.166 0.353 2.25984894551789e-16
NCKAP1 6.60318922805717e-21 -0.3403667652758 0.257 0.451 2.41597487476156e-16
ARHGAP35 7.03620127096301e-21 -0.350533471069053 0.244 0.452 2.57440532101995e-16
TNIK 7.1205050878975e-21 -0.419030851801354 0.384 0.557 2.60525040155994e-16
RNF220 7.23007993199711e-21 0.519994234248966 0.507 0.441 2.6453416455191e-16
MGLL 8.83122114886339e-21 -0.684540279619135 0.186 0.361 3.23116719394614e-16
BMP2K 9.48428418945605e-21 -0.810031553363736 0.128 0.291 3.47010989923818e-16
ASAP2 1.02839867871484e-20 -0.560294837862504 0.143 0.316 3.76270508568184e-16
BTRC 1.03522764471168e-20 -0.324743980476365 0.238 0.43 3.78769090647111e-16
WDR33 1.07628474589798e-20 -0.371745553055918 0.13 0.321 3.93791062829153e-16
PDZRN3 1.09946078714205e-20 -0.673667554506931 0.233 0.38 4.02270712799532e-16
TNRC6B 1.12868834015501e-20 -0.171172498490374 0.498 0.68 4.12964489895916e-16
KIAA1109 1.2816874148933e-20 -0.30286601045958 0.269 0.474 4.68943791361161e-16
LMO3 1.37896994000031e-20 -0.77987277762878 0.182 0.328 5.04537521647314e-16
PIP5K1A 1.45612302161413e-20 -0.500769066592066 0.126 0.311 5.32766291148179e-16
GABRA2 1.55138017330399e-20 -0.807052540539477 0.147 0.307 5.67618977808465e-16
TRAK1 1.90697134185937e-20 -0.588631516552262 0.18 0.362 6.97722674559507e-16
MGAT4A 2.02576119352587e-20 -0.893378413381903 0.104 0.263 7.41185505487245e-16
FMN2 2.0929353658685e-20 -0.549654378825355 0.358 0.499 7.65763191663965e-16
UBE2H 2.11488945466446e-20 -0.308782258355837 0.225 0.432 7.73795753672632e-16
BCAP29 2.3829617268888e-20 -0.657776143474371 0.104 0.27 8.71878036634075e-16
SLC7A14-AS1 2.40169929437599e-20 0.887018605024863 0.297 0.221 8.78733737826288e-16
KDM5A 2.4683293096781e-20 -0.569973445135322 0.122 0.302 9.03112327825024e-16
ITFG1 3.0260549427645e-20 -0.238656468210019 0.383 0.572 1.10717298245868e-15
SCRN1 3.14049784029892e-20 -0.701168125439984 0.108 0.276 1.14904534980857e-15
AFDN 3.17232772733844e-20 -0.322009369285487 0.207 0.403 1.16069126887859e-15
ABI1 3.21085193406854e-20 -0.568448502193024 0.174 0.356 1.174786505637e-15
NEMF 3.88112549140565e-20 -0.463259640806304 0.125 0.308 1.4200261947955e-15
CAMK4 3.93270188404891e-20 -0.768721063437601 0.163 0.309 1.43889696533581e-15
YWHAB 4.44487491611727e-20 -0.611976892324931 0.21 0.388 1.62629083430899e-15
LSAMP 4.96684885790291e-20 -0.537794495537032 0.729 0.829 1.81727066012952e-15
CAP2 5.17435432495304e-20 -0.794703200274236 0.205 0.348 1.89319276041382e-15
GAS7 5.45993860840868e-20 -0.419198731427119 0.29 0.464 1.99768233804457e-15
POU2F1 5.90569409656714e-20 -0.315955301446066 0.295 0.484 2.16077535605199e-15
ANKRD12 6.00228832240823e-20 -0.173128552202487 0.285 0.492 2.19611725140272e-15
ARIH1 6.11109266012716e-20 -0.369680940156898 0.262 0.455 2.23592658248733e-15
PTPRZ1 6.11975679888045e-20 -0.983026161424451 0.116 0.252 2.23909661757438e-15
WDFY3 7.32944615327356e-20 -0.236571985553539 0.381 0.567 2.68169775855973e-15
SRGAP3 7.53554453656574e-20 -0.389347013494203 0.29 0.457 2.75710503503867e-15
CACNB4 7.64792398966778e-20 -0.555220476956726 0.287 0.435 2.79822242933965e-15
VPS53 8.49122952117161e-20 -0.406364991073647 0.213 0.4 3.10677105720627e-15
NLGN4X 8.92988761525129e-20 -0.606352266768625 0.233 0.384 3.26726728066814e-15
CDR2 9.80928368804085e-20 -0.786155473548831 0.125 0.275 3.58902071578039e-15
SMARCA4 1.03262484780361e-19 -0.632939256665441 0.11 0.278 3.77816779314386e-15
SNX10 1.07402822954398e-19 -0.824868789011832 0.115 0.265 3.92965448625553e-15
USP9X 1.1207963727748e-19 -0.392094207163809 0.167 0.36 4.10076976870843e-15
KCND3 1.13048909983833e-19 -0.77724089201146 0.157 0.296 4.13623351848848e-15
AC073050.1 1.17328882516123e-19 -0.721011645412625 0.268 0.407 4.29282915349992e-15
ITSN1 1.20449810074034e-19 -0.381998261106047 0.245 0.433 4.40701765098875e-15
CNOT6L 1.26475093805242e-19 -0.781928281026314 0.113 0.277 4.62747073214618e-15
ARNT2 1.33339216054557e-19 -0.331639363862277 0.327 0.502 4.87861523700412e-15
DNAJB6 1.42500676116662e-19 -0.5068605087347 0.143 0.33 5.21381473775643e-15
